created_at,entry_id,field1,field2,field3,field4
2025-04-10 12:40:42 UTC,1648,28.30,52.80,114.92,
2025-04-10 12:41:02 UTC,1649,28.30,52.70,114.59,
2025-04-10 12:41:17 UTC,1650,28.30,52.90,113.95,
2025-04-10 12:41:37 UTC,1651,28.30,52.90,113.95,
2025-04-10 12:41:57 UTC,1652,28.20,52.70,113.95,
2025-04-10 12:42:17 UTC,1653,28.20,52.90,112.66,
2025-04-10 12:42:37 UTC,1654,28.20,53.10,113.30,
2025-04-10 12:42:57 UTC,1655,28.20,53.10,113.30,
2025-04-10 12:43:12 UTC,1656,28.20,53.00,112.50,
2025-04-10 12:43:32 UTC,1657,28.20,53.10,113.30,
2025-04-10 12:43:47 UTC,1658,28.20,52.90,112.98,
2025-04-10 12:44:07 UTC,1659,28.20,52.90,113.47,
2025-04-10 12:44:22 UTC,1660,28.20,53.00,113.14,
2025-04-10 12:44:42 UTC,1661,28.20,52.90,112.50,
2025-04-10 12:45:02 UTC,1662,28.20,52.90,112.66,
2025-04-10 12:45:22 UTC,1663,28.20,52.70,111.85,
2025-04-10 12:45:42 UTC,1664,28.10,52.70,112.50,
2025-04-10 12:46:02 UTC,1665,28.10,52.80,111.85,
2025-04-10 12:46:17 UTC,1666,28.10,53.00,112.66,
2025-04-10 12:46:32 UTC,1667,28.10,52.70,112.50,
2025-04-10 12:46:52 UTC,1668,28.10,52.70,112.01,
2025-04-10 12:47:12 UTC,1669,28.10,52.80,111.37,
2025-04-10 12:47:32 UTC,1670,28.10,52.50,111.53,
2025-04-10 12:47:47 UTC,1671,28.10,52.90,112.50,
2025-04-10 12:48:04 UTC,1672,,,,5
2025-04-10 12:48:22 UTC,1673,28.20,52.80,112.50,
2025-04-10 12:48:37 UTC,1674,28.20,52.70,111.69,
2025-04-10 12:48:57 UTC,1675,28.20,52.70,112.50,
2025-04-10 12:49:17 UTC,1676,28.20,52.60,112.01,
2025-04-10 12:49:37 UTC,1677,28.20,52.30,111.85,
2025-04-10 12:49:52 UTC,1678,28.20,52.50,111.37,
2025-04-10 12:50:12 UTC,1679,28.20,52.60,112.66,
2025-04-10 12:50:27 UTC,1680,28.20,52.50,111.53,
2025-04-10 12:50:42 UTC,1681,28.20,52.60,112.66,
2025-04-10 12:51:02 UTC,1682,28.20,52.50,112.66,
2025-04-10 12:51:22 UTC,1683,28.20,52.40,111.21,
2025-04-10 12:51:42 UTC,1684,28.20,52.30,111.85,
2025-04-10 12:52:02 UTC,1685,28.20,52.40,111.37,
2025-04-10 12:52:22 UTC,1686,28.20,52.40,111.69,
2025-04-10 12:52:42 UTC,1687,28.20,52.60,111.21,
2025-04-10 12:53:02 UTC,1688,28.20,52.10,111.37,
2025-04-10 12:53:22 UTC,1689,28.20,52.20,112.01,
2025-04-10 12:53:37 UTC,1690,28.10,52.20,111.21,
2025-04-10 12:53:57 UTC,1691,28.10,52.30,111.85,
2025-04-10 12:54:17 UTC,1692,28.10,52.20,111.85,
2025-04-10 12:54:32 UTC,1693,28.10,52.20,111.85,
2025-04-10 12:54:47 UTC,1694,28.10,52.40,111.85,
2025-04-10 12:55:07 UTC,1695,28.10,52.30,110.89,
2025-04-10 12:55:27 UTC,1696,28.10,52.10,111.69,
2025-04-10 12:55:47 UTC,1697,28.10,52.10,111.37,
2025-04-10 12:56:02 UTC,1698,28.10,52.20,110.89,
2025-04-10 12:56:22 UTC,1699,28.10,52.00,111.37,
2025-04-10 12:56:42 UTC,1700,28.10,52.10,111.21,
2025-04-10 12:57:02 UTC,1701,28.10,51.80,110.89,
2025-04-10 12:57:17 UTC,1702,28.10,52.00,110.89,
2025-04-10 12:57:32 UTC,1703,28.10,51.90,111.69,
2025-04-10 12:57:52 UTC,1704,28.10,52.00,111.21,
2025-04-10 12:58:12 UTC,1705,28.10,52.00,110.89,
2025-04-10 12:58:32 UTC,1706,28.10,51.90,111.05,
2025-04-10 12:58:52 UTC,1707,28.10,51.90,111.69,
2025-04-10 12:59:12 UTC,1708,28.20,51.80,111.85,
2025-04-10 12:59:27 UTC,1709,28.20,51.70,110.89,
2025-04-10 12:59:42 UTC,1710,28.20,51.80,112.01,
2025-04-10 13:00:02 UTC,1711,28.30,51.80,111.37,
2025-04-10 13:00:22 UTC,1712,28.30,51.60,111.69,
2025-04-10 13:00:37 UTC,1713,28.30,51.60,114.27,
2025-04-10 13:00:57 UTC,1714,28.30,51.60,114.11,
2025-04-10 13:01:12 UTC,1715,28.30,51.40,115.08,
2025-04-10 13:01:27 UTC,1716,28.40,51.50,114.43,
2025-04-10 13:01:47 UTC,1717,28.40,51.30,114.27,
2025-04-10 13:02:02 UTC,1718,28.40,51.30,114.43,
2025-04-10 13:02:22 UTC,1719,28.40,51.10,114.75,
2025-04-10 13:02:37 UTC,1720,28.40,51.00,114.59,
2025-04-10 13:02:57 UTC,1721,28.40,51.10,114.27,
2025-04-10 13:03:17 UTC,1722,28.40,51.00,114.43,
2025-04-10 13:03:37 UTC,1723,28.40,50.90,115.24,
2025-04-10 13:03:57 UTC,1724,28.40,51.00,114.59,
2025-04-10 13:04:17 UTC,1725,28.40,51.10,115.24,
2025-04-10 13:04:37 UTC,1726,28.40,50.90,116.04,
2025-04-10 13:04:57 UTC,1727,28.40,51.10,115.72,
2025-04-10 13:05:17 UTC,1728,28.40,51.30,115.88,
2025-04-10 13:05:32 UTC,1729,28.40,51.00,115.56,
2025-04-10 13:05:52 UTC,1730,28.40,50.80,116.04,
2025-04-10 13:06:07 UTC,1731,28.40,51.20,116.21,
2025-04-10 13:06:27 UTC,1732,28.40,50.90,116.21,
2025-04-10 13:06:47 UTC,1733,28.40,50.90,117.49,
2025-04-10 13:07:02 UTC,1734,28.40,50.80,117.49,
2025-04-10 13:07:22 UTC,1735,28.40,51.10,120.40,
2025-04-10 13:07:37 UTC,1736,28.40,50.90,121.20,
2025-04-10 13:07:52 UTC,1737,28.30,51.00,119.59,
2025-04-10 13:08:12 UTC,1738,28.40,50.90,117.66,
2025-04-10 13:08:32 UTC,1739,28.40,50.90,117.01,
2025-04-10 13:08:47 UTC,1740,28.30,50.80,117.66,
2025-04-10 13:09:07 UTC,1741,28.40,51.30,117.49,
2025-04-10 13:09:27 UTC,1742,28.40,50.90,118.30,
2025-04-10 13:09:47 UTC,1743,28.40,51.00,117.17,
2025-04-10 13:10:07 UTC,1744,28.40,51.10,117.01,
2025-04-10 13:10:27 UTC,1745,28.40,50.90,116.53,
2025-04-10 13:10:42 UTC,1746,28.40,51.00,117.49,
2025-04-10 13:10:57 UTC,1747,28.40,50.80,117.17,
