created_at,entry_id,field1,latitude,longitude,elevation,status
2025-04-17T17:38:29+00:00,1,,,,,
2025-04-17T17:40:37+00:00,2,1,,,,
2025-04-17T17:46:37+00:00,3,1,,,,
2025-04-17T17:49:20+00:00,4,1,,,,
2025-04-17T17:50:41+00:00,5,0,,,,
2025-04-17T17:51:01+00:00,6,0,,,,
2025-04-17T17:51:22+00:00,7,2,,,,
2025-04-17T17:51:56+00:00,8,3,,,,
2025-04-17T19:22:05+00:00,9,0,,,,
2025-04-17T19:22:25+00:00,10,1,,,,
2025-04-17T19:27:23+00:00,11,2,,,,
2025-04-17T19:27:39+00:00,12,0,,,,
2025-04-18T16:41:27+00:00,13,0,,,,
2025-04-18T16:42:50+00:00,14,3,,,,
2025-04-18T16:43:50+00:00,15,4,,,,
2025-04-18T16:45:13+00:00,16,1,,,,
2025-04-18T16:45:29+00:00,17,0,,,,
2025-04-18T16:47:03+00:00,18,0,,,,
